time_bin,avg_turns,session_count,frac_ge2,frac_ge3
3754800,1.1001011122345803,1978,0.0551061678463094,0.00455005055611729
3758400,1.3082191780821917,146,0.08904109589041095,0.02054794520547945
3762000,1.3926605504587155,545,0.08807339449541285,0.01834862385321101
3765600,5.916666666666667,12,0.6666666666666666,0.5
3769200,10.25925925925926,27,0.8518518518518519,0.7037037037037037
3772800,1.6253298153034301,379,0.17941952506596306,0.07387862796833773
3776400,1.3774954627949183,551,0.16515426497277677,0.038112522686025406
3780000,9.0,25,0.56,0.48
3783600,1.736,125,0.224,0.112
3787200,1.2009478672985783,1055,0.07488151658767772,0.009478672985781991
3790800,1.0457190357439734,3609,0.042671100027708506,0.002770850651149903
3794400,1.0260869565217392,4600,0.025,0.0008695652173913044
3798000,1.1062124248496994,998,0.10220440881763528,0.004008016032064128
3801600,1.3293413173652695,334,0.24251497005988024,0.059880239520958084
3805200,2.244186046511628,86,0.5116279069767442,0.22093023255813954
3808800,5.3076923076923075,13,0.38461538461538464,0.23076923076923078
3826800,178.0,1,1.0,1.0
3837600,1.6354679802955665,406,0.05172413793103448,0.019704433497536946
3841200,1.455813953488372,215,0.15348837209302327,0.05581395348837209
3844800,1.0351208459214503,2648,0.034365558912386705,0.0007552870090634441
3848400,1.0534495830174375,2638,0.051933282789992416,0.001516300227445034
3852000,1.0672696438665914,3538,0.047484454494064444,0.0033917467495760316
3855600,1.0418982471141514,4678,0.04082941427960667,0.0008550662676357417
3859200,1.0868167202572347,2488,0.08239549839228295,0.0044212218649517685
3862800,1.0515800944424265,2753,0.05012713403559753,0.001452960406828914
3866400,1.0527182866556837,2428,0.04983525535420099,0.002883031301482702
3870000,1.0708074534161491,2415,0.0670807453416149,0.0037267080745341614
3873600,1.0894151764137265,2069,0.08264862252295795,0.005799903334944417
3877200,1.0916230366492146,1528,0.0824607329842932,0.009162303664921465
3880800,1.2514124293785311,354,0.211864406779661,0.031073446327683617
3884400,1.5161290322580645,186,0.3387096774193548,0.12365591397849462
3888000,1.0106064099608023,4337,0.006686649757897164,0.001152870647913304
3891600,1.0769230769230769,754,0.054376657824933686,0.017241379310344827
3895200,1.62,150,0.06666666666666667,0.03333333333333333
3909600,6.0,1,1.0,1.0
3916800,145.0,1,1.0,1.0
3927600,1.1071428571428572,84,0.10714285714285714,0.0
3931200,1.1899038461538463,416,0.17548076923076922,0.014423076923076924
3934800,1.0446232626188734,1367,0.03950256035113387,0.0036576444769568397
3938400,1.0233761598857958,5604,0.023197715917202,0.00017844396859386153
3942000,1.0382660687593424,3345,0.03348281016442452,0.0038863976083707025
3945600,1.0428310263776444,3829,0.042308696787673024,0.0005223295899712719
3949200,1.079464988198269,1271,0.07002360346184107,0.006294256490952006
3952800,1.1378504672897196,428,0.11448598130841121,0.016355140186915886
3956400,1.186335403726708,483,0.13871635610766045,0.035196687370600416
3960000,1.2481060606060606,528,0.1856060606060606,0.03409090909090909
3963600,1.2710084033613445,476,0.21218487394957983,0.04411764705882353
3967200,1.53125,192,0.2760416666666667,0.06770833333333333
3970800,1.0168539325842696,3560,0.016853932584269662,0.0
3974400,1.4538799414348462,683,0.014641288433382138,0.0014641288433382138
4010400,1.0118095238095237,5250,0.010476190476190476,0.001142857142857143
4014000,1.1490787269681741,597,0.1306532663316583,0.01507537688442211
4017600,1.2394366197183098,284,0.19718309859154928,0.035211267605633804
4021200,1.434065934065934,182,0.21428571428571427,0.04395604395604396
4024800,1.0483005366726297,2236,0.023255813953488372,0.0031305903398926656
4028400,1.0841300191204588,1569,0.06309751434034416,0.015296367112810707
4032000,1.3540372670807452,483,0.2546583850931677,0.045548654244306416
4035600,1.9466019417475728,206,0.33495145631067963,0.07766990291262135
4039200,1.3106060606060606,264,0.23863636363636365,0.03409090909090909
4042800,1.3433734939759037,332,0.2620481927710843,0.06325301204819277
4046400,2.0362173038229376,497,0.07847082494969819,0.02012072434607646
4057200,23.666666666666668,9,0.5555555555555556,0.4444444444444444
4064400,10.25,4,0.5,0.5
4068000,38.0,1,1.0,1.0
4075200,399.0,1,1.0,1.0
4100400,143.0,1,1.0,1.0
4104000,49.0,1,1.0,1.0
4107600,61.0,2,1.0,0.5
4111200,13.173913043478262,23,0.4782608695652174,0.2608695652173913
4114800,42.25,8,1.0,1.0
4118400,147.66666666666666,3,1.0,1.0
4129200,2.875,8,0.5,0.25
4132800,20.2,15,0.4666666666666667,0.3333333333333333
4140000,1.032422417786012,2159,0.024085224641037517,0.0013895321908290875
4143600,1.028560830860534,2696,0.02596439169139466,0.000370919881305638
4147200,1.0089718719689622,4124,0.008971871968962172,0.0
4150800,1.0327272727272727,1925,0.004675324675324675,0.0005194805194805195
4165200,6.0,1,1.0,1.0
4172400,185.0,2,0.5,0.5
4183200,1.0396825396825398,252,0.03968253968253968,0.0
4186800,1.3475650433622415,1499,0.06270847231487658,0.00533689126084056
4197600,12.142857142857142,14,1.0,1.0
4201200,12.95,20,0.85,0.75
4204800,2.033707865168539,178,0.15168539325842698,0.08426966292134831
4208400,1.1516634050880625,1022,0.06653620352250489,0.009784735812133072
4212000,7.454545454545454,11,0.7272727272727273,0.6363636363636364
4215600,1.0354871108135253,2987,0.01975225979243388,0.0016739203213927017
4219200,1.3468950749464668,467,0.044967880085653104,0.004282655246252677
